"A","Landbouw, bosbouw en visserij"
"1","Landbouw, jacht en dienstverlening voor de landbouw en jacht"
"01.1","Teelt van eenjarige gewassen"
"01.11","Teelt van granen (excl. rijst), peulvruchten en oliehoudende zaden"
"01.11.0","Teelt van granen (excl. rijst), peulvruchten en oliehoudende zaden"
"01.12","Teelt van rijst"
"01.12.0","Teelt van rijst"
"01.13","Teelt van groenten, meloenen en wortel- en knolgewassen"
"01.13.1","Teelt van groenten in de volle grond"
"01.13.2","Teelt van groenten onder glas"
"01.13.3","Teelt van paddenstoelen"
"01.13.4","Teelt van aardappelen en overige wortel- en knolgewassen"
"01.14","Teelt van suikerriet"
"01.14.0","Teelt van suikerriet"
"01.15","Teelt van tabak"
"01.15.0","Teelt van tabak"
"01.16","Teelt van vezelgewassen"
"01.16.0","Teelt van vezelgewassen"
"01.19","Teelt van overige eenjarige gewassen"
"01.19.1","Teelt van snijbloemen en snijheesters in de volle grond"
"01.19.2","Teelt van snijbloemen en snijheesters onder glas"
"01.19.3","Teelt van voedergewassen"
"01.19.9","Teelt van overige eenjarige gewassen (rest)"
"Bron: Standaard Bedrijfsindeling 2025, KVK & CBS, maart 2024"